store_id,product_id,product_name,supplier_id,order_qty_units,unit_price,freshness_loss_days,order_weight_kg,candidate_unit_cost
134,101,Fresh Strawberries,2,143,8.23,0.03,35.75,8.324760295620809
134,102,Fresh Blueberries,2,114,8.83,0.03,14.25,8.877380147810404
134,201,Whole Milk,9,1425,1.44,1.04,1425.0,2.035732759097735
134,202,Eggs,7,714,2.18,1.06,42.839999999999996,2.232748054849961
145,101,Fresh Strawberries,10,306,4.64,1.08,76.5,4.866845161968041
145,102,Fresh Blueberries,2,235,8.83,0.03,29.375,8.870881113315006
145,201,Whole Milk,7,886,1.21,1.06,886.0,1.8858300340713696
145,202,Eggs,7,529,2.18,1.06,31.74,2.220549802044282
167,101,Fresh Strawberries,10,270,4.64,1.08,67.5,4.871253149120211
167,102,Fresh Blueberries,2,201,8.83,0.03,25.125,8.875194809689427
167,201,Whole Milk,7,798,1.21,1.06,798.0,1.999625114034594
167,202,Eggs,7,903,2.18,1.06,54.18,2.2273775068420756
18,101,Fresh Strawberries,10,278,4.64,1.08,69.5,4.858579035630082
18,102,Fresh Blueberries,2,184,8.83,0.03,23.0,8.869919062167348
18,201,Whole Milk,7,989,1.21,1.06,989.0,2.0280540699741643
18,202,Eggs,7,428,2.18,1.06,25.68,2.22908324419845
182,101,Fresh Strawberries,10,281,4.64,1.08,70.25,4.88687314796072
182,102,Fresh Blueberries,2,188,8.83,0.03,23.5,8.882962842496692
182,201,Whole Milk,4,744,1.96,0.01,744.0,2.139156559866064
182,202,Eggs,7,777,2.18,1.06,46.62,2.227550010548474
197,101,Fresh Strawberries,10,183,4.64,1.08,45.75,4.885572408414341
197,102,Fresh Blueberries,2,259,8.83,0.03,32.375,8.881280745992717
197,201,Whole Milk,7,748,1.21,1.06,748.0,1.957733770800116
197,202,Eggs,7,800,2.18,1.06,48.0,2.224864026248007
235,101,Fresh Strawberries,10,417,4.64,1.08,104.25,4.870499373657677
235,102,Fresh Blueberries,2,232,8.83,0.03,29.0,8.875099197355983
235,201,Whole Milk,7,1275,1.21,1.06,1275.0,2.008515793735598
235,202,Eggs,7,697,2.18,1.06,41.82,2.227910947624136
242,101,Fresh Strawberries,10,175,4.64,1.08,43.75,4.8585336016876335
242,102,Fresh Blueberries,2,163,8.83,0.03,20.375,8.868442074002393
242,201,Whole Milk,7,1135,1.21,1.06,1135.0,1.987263764544902
242,202,Eggs,7,801,2.18,1.06,48.059999999999995,2.226635825872694
263,101,Fresh Strawberries,10,384,4.64,1.08,96.0,4.856787046533705
263,102,Fresh Blueberries,2,232,8.83,0.03,29.0,8.866012944506624
263,201,Whole Milk,7,1105,1.21,1.06,1105.0,1.916124180204968
263,202,Eggs,7,743,2.18,1.06,44.58,2.2223674508122984
343,101,Fresh Strawberries,10,335,4.64,1.08,83.75,4.892594497466758
343,102,Fresh Blueberries,2,252,8.83,0.03,31.5,8.885185922622826
343,201,Whole Milk,4,1006,1.96,0.01,1006.0,2.106291566150142
343,202,Eggs,7,984,2.18,1.06,59.04,2.226101894959251
409,101,Fresh Strawberries,10,428,4.64,1.08,107.0,4.86506949694853
409,102,Fresh Blueberries,2,280,8.83,0.03,35.0,8.872209088471372
409,201,Whole Milk,7,726,1.21,1.06,726.0,2.0024375240208503
409,202,Eggs,7,966,2.18,1.06,57.96,2.227546251441251
420,101,Fresh Strawberries,10,179,4.64,1.08,44.75,4.906916595505464
420,102,Fresh Blueberries,2,193,8.83,0.03,24.125,8.89179347522343
420,201,Whole Milk,4,1094,1.96,0.01,1094.0,2.0458224084653445
420,202,Eggs,7,598,2.18,1.06,35.879999999999995,2.2246786206488696
517,101,Fresh Strawberries,10,227,4.64,1.08,56.75,4.876388508319187
