store_id,product_id,product_name,supplier_id,order_qty_units,unit_price,freshness_loss_days,order_weight_kg,candidate_unit_cost
134,101,Fresh Strawberries,10,143,4.64,1.08,35.75,4.868574451844276
134,102,Fresh Blueberries,2,114,8.83,0.03,14.25,8.877380147810404
134,201,Whole Milk,9,1425,1.44,1.04,1425.0,2.035732759097735
134,202,Eggs,14,714,1.29,2.16,42.839999999999996,1.416458077316439
145,101,Fresh Strawberries,10,306,4.64,1.08,76.5,4.866845161968041
145,102,Fresh Blueberries,11,285,4.78,2.21,35.625,5.115843310574268
145,201,Whole Milk,7,886,1.21,1.06,886.0,1.8858300340713696
145,202,Eggs,14,529,1.29,2.16,31.74,1.4171691408811329
167,101,Fresh Strawberries,10,270,4.64,1.08,67.5,4.871253149120211
167,102,Fresh Blueberries,2,201,8.83,0.03,25.125,8.875194809689427
167,201,Whole Milk,7,798,1.21,1.06,798.0,1.999625114034594
167,202,Eggs,14,903,1.29,2.16,54.18,1.4154514061337935
18,101,Fresh Strawberries,10,278,4.64,1.08,69.5,4.858579035630082
18,102,Fresh Blueberries,2,184,8.83,0.03,23.0,8.869919062167348
18,201,Whole Milk,7,989,1.21,1.06,989.0,2.0280540699741643
18,202,Eggs,14,428,1.29,2.16,25.68,1.4185164949365043
182,101,Fresh Strawberries,10,281,4.64,1.08,70.25,4.88687314796072
182,102,Fresh Blueberries,2,188,8.83,0.03,23.5,8.882962842496692
182,201,Whole Milk,4,744,1.96,0.01,744.0,2.139156559866064
182,202,Eggs,14,777,1.29,2.16,46.62,1.4117038061358647
197,101,Fresh Strawberries,10,183,4.64,1.08,45.75,4.885572408414341
197,102,Fresh Blueberries,11,285,4.78,2.21,35.625,5.111794917669105
197,201,Whole Milk,7,748,1.21,1.06,748.0,1.957733770800116
197,202,Eggs,14,800,1.29,2.16,48.0,1.4120859585751997
235,101,Fresh Strawberries,10,417,4.64,1.08,104.25,4.870499373657677
235,102,Fresh Blueberries,11,285,4.78,2.21,35.625,5.103042499817951
235,201,Whole Milk,7,1275,1.21,1.06,1275.0,2.008515793735598
235,202,Eggs,14,697,1.29,2.16,41.82,1.4156352941543795
242,101,Fresh Strawberries,10,175,4.64,1.08,43.75,4.8585336016876335
242,102,Fresh Blueberries,2,163,8.83,0.03,20.375,8.868442074002393
242,201,Whole Milk,7,1135,1.21,1.06,1135.0,1.987263764544902
242,202,Eggs,14,801,1.29,2.16,48.059999999999995,1.4185220926115496
263,101,Fresh Strawberries,10,384,4.64,1.08,96.0,4.856787046533705
263,102,Fresh Blueberries,11,285,4.78,2.21,35.625,5.111044763214556
263,201,Whole Milk,7,1105,1.21,1.06,1105.0,1.916124180204968
263,202,Eggs,14,743,1.29,2.16,44.58,1.4193486110083446
343,101,Fresh Strawberries,10,335,4.64,1.08,83.75,4.892594497466758
343,102,Fresh Blueberries,11,285,4.78,2.21,35.625,5.111265144474318
343,201,Whole Milk,4,1006,1.96,0.01,1006.0,2.106291566150142
343,202,Eggs,14,984,1.29,2.16,59.04,1.4103457342071724
409,101,Fresh Strawberries,10,428,4.64,1.08,107.0,4.86506949694853
409,102,Fresh Blueberries,11,285,4.78,2.21,35.625,5.102723984897693
409,201,Whole Milk,7,726,1.21,1.06,726.0,2.0024375240208503
409,202,Eggs,14,966,1.29,2.16,57.96,1.4169354694316634
420,101,Fresh Strawberries,10,179,4.64,1.08,44.75,4.906916595505464
420,102,Fresh Blueberries,2,193,8.83,0.03,24.125,8.89179347522343
420,201,Whole Milk,4,1094,1.96,0.01,1094.0,2.0458224084653445
420,202,Eggs,14,598,1.29,2.16,35.879999999999995,1.4069850573779836
517,101,Fresh Strawberries,10,227,4.64,1.08,56.75,4.876388508319187
517,102,Fresh Blueberries,2,158,8.83,0.03,19.75,8.877839290165024
517,201,Whole Milk,7,570,1.21,1.06,570.0,2.003196836562264
517,202,Eggs,14,1140,1.29,2.16,68.39999999999999,1.4142198158977923
554,101,Fresh Strawberries,10,342,4.64,1.08,85.5,4.858519070982137
554,102,Fresh Blueberries,11,289,4.78,2.21,36.125,5.105536456213744
554,201,Whole Milk,7,882,1.21,1.06,882.0,1.9677531869912035
554,202,Eggs,14,1097,1.29,2.16,65.82,1.4185817508698713
555,101,Fresh Strawberries,10,376,4.64,1.08,94.0,4.919387612802349
555,102,Fresh Blueberries,14,367,4.48,2.16,45.875,4.720103613678672
555,201,Whole Milk,7,1066,1.21,1.06,1066.0,1.8291256927427972
555,202,Eggs,14,841,1.29,2.16,50.46,1.4052497345657626
556,101,Fresh Strawberries,10,231,4.64,1.08,57.75,4.8920702110494085
556,102,Fresh Blueberries,11,285,4.78,2.21,35.625,5.1257149752222215
556,201,Whole Milk,7,931,1.21,1.06,931.0,1.8392375171239304
556,202,Eggs,14,1133,1.29,2.16,67.98,1.4115734111505467
577,101,Fresh Strawberries,10,214,4.64,1.08,53.5,4.879750721368047
577,102,Fresh Blueberries,2,158,8.83,0.03,19.75,8.88161676561897
577,201,Whole Milk,9,650,1.44,1.04,650.0,1.9904796730449923
577,202,Eggs,14,1138,1.29,2.16,68.28,1.4136237985448104
602,101,Fresh Strawberries,10,342,4.64,1.08,85.5,4.871191146166843
602,102,Fresh Blueberries,2,169,8.83,0.03,21.125,8.877038835217883
602,201,Whole Milk,7,896,1.21,1.06,896.0,2.0529067708734523
602,202,Eggs,14,497,1.29,2.16,29.82,1.4155961165424462
704,101,Fresh Strawberries,10,143,4.64,1.08,35.75,4.875966938302837
704,102,Fresh Blueberries,11,285,4.78,2.21,35.625,5.090105856744759
704,201,Whole Milk,9,982,1.44,1.04,982.0,2.0111667436891634
704,202,Eggs,14,659,1.29,2.16,39.54,1.4151339272508143
847,101,Fresh Strawberries,10,276,4.64,1.08,69.0,4.873586859930012
847,102,Fresh Blueberries,2,148,8.83,0.03,18.5,8.8742140593854
847,201,Whole Milk,7,998,1.21,1.06,998.0,1.853104292037073
847,202,Eggs,14,719,1.29,2.16,43.14,1.4159143093149855
