store_id,product_id,product_name,supplier_id,order_qty_units,unit_price,freshness_loss_days,order_weight_kg,candidate_unit_cost
134,101,Fresh Strawberries,2,96,8.23,0.03,24.0,8.324760295620809
134,102,Fresh Blueberries,2,76,8.83,0.03,9.5,8.877380147810404
134,201,Whole Milk,9,950,1.44,1.04,950.0,2.035732759097735
134,202,Eggs,7,476,2.18,1.06,28.56,2.232748054849961
145,101,Fresh Strawberries,7,204,6.05,1.06,51.0,6.218957508517843
145,102,Fresh Blueberries,2,157,8.83,0.03,19.625,8.870881113315006
145,201,Whole Milk,7,591,1.21,1.06,591.0,1.8858300340713696
145,202,Eggs,7,353,2.18,1.06,21.18,2.220549802044282
167,101,Fresh Strawberries,9,180,6.19,1.04,45.0,6.337779871694945
167,102,Fresh Blueberries,2,134,8.83,0.03,16.75,8.875194809689427
167,201,Whole Milk,7,532,1.21,1.06,532.0,1.999625114034594
167,202,Eggs,7,602,2.18,1.06,36.12,2.2273775068420756
18,101,Fresh Strawberries,9,186,6.19,1.04,46.5,6.349412507873517
18,102,Fresh Blueberries,2,123,8.83,0.03,15.375,8.869919062167348
18,201,Whole Milk,7,660,1.21,1.06,660.0,2.0280540699741643
18,202,Eggs,7,285,2.18,1.06,17.099999999999998,2.22908324419845
182,101,Fresh Strawberries,9,187,6.19,1.04,46.75,6.322179594597544
182,102,Fresh Blueberries,2,125,8.83,0.03,15.625,8.882962842496692
182,201,Whole Milk,4,496,1.96,0.01,496.0,2.139156559866064
182,202,Eggs,7,518,2.18,1.06,31.08,2.227550010548474
197,101,Fresh Strawberries,9,122,6.19,1.04,30.5,6.326327939034208
197,102,Fresh Blueberries,2,173,8.83,0.03,21.625,8.881280745992717
197,201,Whole Milk,4,499,1.96,0.01,499.0,2.1203364767227124
197,202,Eggs,7,534,2.18,1.06,32.04,2.224864026248007
235,101,Fresh Strawberries,7,278,6.05,1.06,69.5,6.249628948433899
235,102,Fresh Blueberries,2,155,8.83,0.03,19.375,8.875099197355983
235,201,Whole Milk,7,850,1.21,1.06,850.0,2.008515793735598
235,202,Eggs,7,465,2.18,1.06,27.9,2.227910947624136
242,101,Fresh Strawberries,9,118,6.19,1.04,29.5,6.351221427321186
242,102,Fresh Blueberries,2,109,8.83,0.03,13.625,8.868442074002393
242,201,Whole Milk,7,757,1.21,1.06,757.0,1.987263764544902
242,202,Eggs,7,534,2.18,1.06,32.04,2.226635825872694
263,101,Fresh Strawberries,7,256,6.05,1.06,64.0,6.226531045051241
263,102,Fresh Blueberries,2,155,8.83,0.03,19.375,8.866012944506624
263,201,Whole Milk,7,737,1.21,1.06,737.0,1.916124180204968
263,202,Eggs,7,496,2.18,1.06,29.759999999999998,2.2223674508122984
343,101,Fresh Strawberries,7,223,6.05,1.06,55.75,6.242091228996878
343,102,Fresh Blueberries,2,168,8.83,0.03,21.0,8.885185922622826
343,201,Whole Milk,4,671,1.96,0.01,671.0,2.106291566150142
343,202,Eggs,7,656,2.18,1.06,39.36,2.226101894959251
