store_id,product_id,product_name,supplier_id,order_qty_units,unit_price,freshness_loss_days,order_weight_kg,candidate_unit_cost
134,101,Fresh Strawberries,10,96,4.64,1.08,24.0,4.878419
134,102,Fresh Blueberries,2,76,8.83,0.03,9.5,8.9492095
134,201,Whole Milk,14,950,0.88,2.16,950.0,1.1163986188375217
134,202,Eggs,11,476,1.29,2.21,28.56,1.34722056
145,101,Fresh Strawberries,10,204,4.64,1.08,51.0,4.878419
145,102,Fresh Blueberries,2,157,8.83,0.03,19.625,8.9492095
145,201,Whole Milk,7,591,1.21,1.06,591.0,1.3403912087912087
145,202,Eggs,14,353,1.29,2.16,21.18,1.3041839171302514
167,101,Fresh Strawberries,10,180,4.64,1.08,45.0,4.878419
167,102,Fresh Blueberries,2,134,8.83,0.03,16.75,8.9492095
167,201,Whole Milk,7,532,1.21,1.06,532.0,1.3403912087912087
167,202,Eggs,14,602,1.29,2.16,36.12,1.3041839171302514
18,101,Fresh Strawberries,10,186,4.64,1.08,46.5,4.878419
18,102,Fresh Blueberries,2,123,8.83,0.03,15.375,8.9492095
18,201,Whole Milk,7,660,1.21,1.06,660.0,1.3403912087912087
18,202,Eggs,6,285,2.23,1.07,17.099999999999998,2.28722056
182,101,Fresh Strawberries,10,187,4.64,1.08,46.75,4.878419
182,102,Fresh Blueberries,2,125,8.83,0.03,15.625,8.9492095
182,201,Whole Milk,7,496,1.21,1.06,496.0,1.3403912087912087
182,202,Eggs,7,518,2.18,1.06,31.08,2.1878234725274726
197,101,Fresh Strawberries,10,122,4.64,1.08,30.5,4.878419
197,102,Fresh Blueberries,2,173,8.83,0.03,21.625,8.9492095
197,201,Whole Milk,7,499,1.21,1.06,499.0,1.3403912087912087
197,202,Eggs,11,534,1.29,2.21,32.04,1.34722056
235,101,Fresh Strawberries,10,278,4.64,1.08,69.5,4.878419
235,102,Fresh Blueberries,2,155,8.83,0.03,19.375,8.9492095
235,201,Whole Milk,14,850,0.88,2.16,850.0,1.1163986188375217
235,202,Eggs,14,465,1.29,2.16,27.9,1.3041839171302514
242,101,Fresh Strawberries,10,117,4.64,1.08,29.25,4.878419
242,102,Fresh Blueberries,2,109,8.83,0.03,13.625,8.9492095
242,201,Whole Milk,14,757,0.88,2.16,757.0,1.1163986188375217
242,202,Eggs,11,534,1.29,2.21,32.04,1.34722056
263,101,Fresh Strawberries,10,256,4.64,1.08,64.0,4.878419
263,102,Fresh Blueberries,2,155,8.83,0.03,19.375,8.9492095
263,201,Whole Milk,14,737,0.88,2.16,737.0,1.1163986188375217
263,202,Eggs,14,496,1.29,2.16,29.759999999999998,1.3041839171302514
343,101,Fresh Strawberries,10,223,4.64,1.08,55.75,4.878419
343,102,Fresh Blueberries,2,168,8.83,0.03,21.0,8.9492095
343,201,Whole Milk,7,671,1.21,1.06,671.0,1.3403912087912087
343,202,Eggs,14,656,1.29,2.16,39.36,1.3041839171302514
409,101,Fresh Strawberries,10,285,4.64,1.08,71.25,4.878419
409,102,Fresh Blueberries,2,187,8.83,0.03,23.375,8.9492095
409,201,Whole Milk,7,484,1.21,1.06,484.0,1.3403912087912087
409,202,Eggs,14,644,1.29,2.16,38.64,1.3041839171302514
420,101,Fresh Strawberries,10,120,4.64,1.08,30.0,4.878419
420,102,Fresh Blueberries,2,129,8.83,0.03,16.125,8.9492095
420,201,Whole Milk,7,730,1.21,1.06,730.0,1.3403912087912087
420,202,Eggs,11,399,1.29,2.21,23.939999999999998,1.34722056
517,101,Fresh Strawberries,10,152,4.64,1.08,38.0,4.878419
517,102,Fresh Blueberries,2,106,8.83,0.03,13.25,8.9492095
517,201,Whole Milk,7,380,1.21,1.06,380.0,1.3403912087912087
517,202,Eggs,7,760,2.18,1.06,45.6,2.1878234725274726
554,101,Fresh Strawberries,10,228,4.64,1.08,57.0,4.878419
554,102,Fresh Blueberries,2,193,8.83,0.03,24.125,8.9492095
554,201,Whole Milk,7,588,1.21,1.06,588.0,1.3403912087912087
554,202,Eggs,14,732,1.29,2.16,43.92,1.3041839171302514
555,101,Fresh Strawberries,10,251,4.64,1.08,62.75,4.878419
555,102,Fresh Blueberries,2,228,8.83,0.03,28.5,8.9492095
555,201,Whole Milk,7,711,1.21,1.06,711.0,1.3403912087912087
555,202,Eggs,14,561,1.29,2.16,33.66,1.3041839171302514
556,101,Fresh Strawberries,10,154,4.64,1.08,38.5,4.878419
556,102,Fresh Blueberries,2,181,8.83,0.03,22.625,8.9492095
556,201,Whole Milk,7,621,1.21,1.06,621.0,1.3403912087912087
556,202,Eggs,14,755,1.29,2.16,45.3,1.3041839171302514
577,101,Fresh Strawberries,10,143,4.64,1.08,35.75,4.878419
577,102,Fresh Blueberries,2,105,8.83,0.03,13.125,8.9492095
577,201,Whole Milk,7,433,1.21,1.06,433.0,1.3403912087912087
577,202,Eggs,7,759,2.18,1.06,45.54,2.1878234725274726
602,101,Fresh Strawberries,10,228,4.64,1.08,57.0,4.878419
602,102,Fresh Blueberries,2,113,8.83,0.03,14.125,8.9492095
602,201,Whole Milk,7,598,1.21,1.06,598.0,1.3403912087912087
602,202,Eggs,11,332,1.29,2.21,19.919999999999998,1.34722056
704,101,Fresh Strawberries,10,95,4.64,1.08,23.75,4.878419
704,102,Fresh Blueberries,2,154,8.83,0.03,19.25,8.9492095
704,201,Whole Milk,7,655,1.21,1.06,655.0,1.3403912087912087
704,202,Eggs,14,440,1.29,2.16,26.4,1.3041839171302514
847,101,Fresh Strawberries,10,184,4.64,1.08,46.0,4.878419
847,102,Fresh Blueberries,2,99,8.83,0.03,12.375,8.9492095
847,201,Whole Milk,7,665,1.21,1.06,665.0,1.3403912087912087
847,202,Eggs,11,480,1.29,2.21,28.799999999999997,1.34722056
