Product ID,Product Name,Mean Sales,RMSE,MAPE (%),Samples
756,Unknown_756,9.04,5.07,32.7,49
1,Unknown_1,7.27,3.36,35.2,28
540,Unknown_540,7.25,1.67,20.5,14
300,Unknown_300,6.28,2.35,29.1,70
96,Unknown_96,5.68,1.57,27.0,7
70,Unknown_70,5.55,2.51,65.1,112
102,Fresh Blueberries,5.48,2.75,38.0,21
546,Unknown_546,5.25,2.02,27.4,28
123,Unknown_123,5.17,2.31,27.0,7
796,Unknown_796,5.13,2.05,22.5,14
691,Unknown_691,5.06,2.16,24.6,119
186,Unknown_186,4.87,2.11,77.2,7
498,Unknown_498,4.81,1.41,23.1,14
467,Unknown_467,4.56,4.2,197.0,7
215,Unknown_215,4.48,1.88,27.5,301
844,Unknown_844,3.96,1.06,23.9,7
386,Unknown_386,3.94,1.27,22.5,7
114,Unknown_114,3.71,1.43,29.0,21
835,Unknown_835,3.6,1.08,26.6,28
185,Unknown_185,3.58,1.21,26.6,21
317,Unknown_317,3.48,1.4,30.0,14
104,Unknown_104,3.46,2.39,173.9,28
309,Unknown_309,3.12,2.0,54.5,42
692,Unknown_692,3.04,1.88,63.4,28
590,Unknown_590,2.94,1.05,30.5,7
117,Unknown_117,2.69,1.67,117.3,203
132,Unknown_132,2.66,1.06,42.7,14
486,Unknown_486,2.65,0.89,29.9,42
119,Unknown_119,2.41,1.74,24.7,14
541,Unknown_541,2.03,1.03,52.2,7
685,Unknown_685,2.02,1.61,243.4,7
71,Unknown_71,1.83,2.39,227.6,28
834,Unknown_834,1.45,2.15,175.8,49
343,Unknown_343,1.37,0.55,37.2,7
4,Unknown_4,1.05,1.72,351.8,28
