supplier_id,product_id,unit_price,fixed_order_cost,min_order_qty_units,supplier_capacity_kg,elapsed_shelf_days,lead_time_mean_days,lead_time_std_days
1,1,120.22,28.73,37,633.3,0.04,1.33,0.27
1,117,120.76,28.73,13,895.9,0.04,1.33,0.27
1,185,134.68,28.73,27,612.4,0.04,1.33,0.27
1,215,112.87,28.73,47,712.1,0.04,1.33,0.27
1,300,101.42,28.73,43,532.5,0.04,1.33,0.27
1,309,112.7,28.73,26,523.5,0.04,1.33,0.27
1,33,106.16,28.73,20,580.7,0.04,1.33,0.27
1,498,92.3,28.73,46,819.8,0.04,1.33,0.27
1,546,114.52,28.73,45,722.2,0.04,1.33,0.27
1,685,118.94,28.73,12,755.0,0.04,1.33,0.27
1,70,117.77,28.73,20,751.5,0.04,1.33,0.27
1,756,115.44,28.73,45,483.8,0.04,1.33,0.27
1,844,113.25,28.73,34,604.4,0.04,1.33,0.27
1,96,100.58,28.73,18,787.3,0.04,1.33,0.27
2,1,120.22,28.24,23,630.4,0.03,0.58,0.12
2,117,120.76,28.24,33,819.0,0.03,0.58,0.12
2,185,134.68,28.24,22,696.5,0.03,0.58,0.12
2,215,112.87,28.24,28,762.0,0.03,0.58,0.12
2,300,101.42,28.24,23,714.0,0.03,0.58,0.12
2,309,112.7,28.24,20,507.2,0.03,0.58,0.12
2,33,106.16,28.24,40,763.1,0.03,0.58,0.12
2,498,92.3,28.24,19,884.8,0.03,0.58,0.12
2,546,114.52,28.24,32,710.5,0.03,0.58,0.12
2,685,118.94,28.24,25,701.5,0.03,0.58,0.12
2,70,117.77,28.24,31,738.2,0.03,0.58,0.12
2,756,115.44,28.24,24,727.3,0.03,0.58,0.12
2,844,113.25,28.24,26,521.8,0.03,0.58,0.12
2,96,100.58,28.24,17,645.0,0.03,0.58,0.12
3,186,35.52,26.62,23,692.7,0.02,1.18,0.24
3,317,38.82,26.62,44,898.8,0.02,1.18,0.24
3,540,39.48,26.62,18,617.4,0.02,1.18,0.24
3,691,43.96,26.62,19,651.3,0.02,1.18,0.24
3,692,36.09,26.62,35,507.4,0.02,1.18,0.24
4,0,208.05,26.52,45,642.9,0.01,0.73,0.15
4,10,207.89,26.52,30,489.3,0.01,0.73,0.15
4,100,255.08,26.52,24,713.5,0.01,0.73,0.15
4,101,239.27,26.52,13,875.8,0.01,0.73,0.15
4,102,205.65,26.52,49,564.2,0.01,0.73,0.15
4,104,226.03,26.52,43,820.0,0.01,0.73,0.15
4,107,214.31,26.52,37,705.7,0.01,0.73,0.15
4,108,187.87,26.52,28,522.1,0.01,0.73,0.15
4,109,208.14,26.52,38,607.6,0.01,0.73,0.15
4,11,213.32,26.52,42,678.9,0.01,0.73,0.15
4,110,172.42,26.52,38,776.7,0.01,0.73,0.15
4,112,232.33,26.52,48,612.0,0.01,0.73,0.15
4,113,210.78,26.52,28,755.5,0.01,0.73,0.15
4,114,243.36,26.52,26,504.2,0.01,0.73,0.15
4,115,206.04,26.52,17,618.6,0.01,0.73,0.15
4,116,209.99,26.52,36,716.9,0.01,0.73,0.15
4,118,235.21,26.52,49,871.6,0.01,0.73,0.15
4,119,208.71,26.52,48,670.3,0.01,0.73,0.15
4,12,211.19,26.52,21,572.1,0.01,0.73,0.15
4,120,189.71,26.52,47,595.5,0.01,0.73,0.15
4,121,203.48,26.52,41,493.9,0.01,0.73,0.15
4,122,196.27,26.52,25,640.6,0.01,0.73,0.15
4,123,208.47,26.52,38,570.2,0.01,0.73,0.15
4,125,222.43,26.52,47,668.9,0.01,0.73,0.15
4,126,249.93,26.52,26,557.0,0.01,0.73,0.15
4,127,196.45,26.52,28,725.0,0.01,0.73,0.15
4,128,235.54,26.52,42,704.8,0.01,0.73,0.15
4,129,229.67,26.52,21,799.0,0.01,0.73,0.15
4,13,207.69,26.52,32,534.6,0.01,0.73,0.15
4,130,180.74,26.52,22,898.4,0.01,0.73,0.15
4,132,228.94,26.52,38,739.8,0.01,0.73,0.15
4,134,234.64,26.52,39,593.1,0.01,0.73,0.15
4,135,218.29,26.52,49,528.4,0.01,0.73,0.15
4,136,185.51,26.52,46,735.0,0.01,0.73,0.15
4,138,180.8,26.52,13,620.6,0.01,0.73,0.15
4,139,192.23,26.52,49,834.5,0.01,0.73,0.15
4,14,202.19,26.52,20,526.0,0.01,0.73,0.15
4,140,191.95,26.52,12,486.7,0.01,0.73,0.15
4,141,180.01,26.52,15,658.4,0.01,0.73,0.15
4,143,217.21,26.52,12,773.9,0.01,0.73,0.15
4,144,184.76,26.52,23,493.3,0.01,0.73,0.15
4,145,200.65,26.52,14,898.6,0.01,0.73,0.15
4,146,214.02,26.52,43,733.7,0.01,0.73,0.15
4,147,193.65,26.52,50,859.2,0.01,0.73,0.15
4,148,177.21,26.52,33,508.6,0.01,0.73,0.15
4,149,231.84,26.52,48,866.1,0.01,0.73,0.15
4,150,206.96,26.52,39,532.8,0.01,0.73,0.15
4,152,163.55,26.52,22,626.8,0.01,0.73,0.15
4,153,217.0,26.52,42,549.3,0.01,0.73,0.15
4,154,207.72,26.52,19,890.8,0.01,0.73,0.15
4,155,226.72,26.52,12,828.4,0.01,0.73,0.15
4,16,209.94,26.52,24,733.4,0.01,0.73,0.15
4,160,193.7,26.52,40,599.0,0.01,0.73,0.15
4,161,197.57,26.52,14,540.3,0.01,0.73,0.15
4,163,207.54,26.52,29,498.8,0.01,0.73,0.15
4,164,165.23,26.52,20,679.7,0.01,0.73,0.15
4,166,240.14,26.52,39,865.2,0.01,0.73,0.15
4,167,246.26,26.52,12,699.9,0.01,0.73,0.15
4,168,196.53,26.52,17,764.1,0.01,0.73,0.15
4,169,227.51,26.52,48,652.0,0.01,0.73,0.15
4,17,205.67,26.52,25,899.0,0.01,0.73,0.15
4,171,232.46,26.52,11,591.8,0.01,0.73,0.15
4,172,236.18,26.52,17,751.2,0.01,0.73,0.15
4,174,196.56,26.52,42,758.1,0.01,0.73,0.15
4,176,233.02,26.52,40,678.3,0.01,0.73,0.15
4,177,208.03,26.52,25,483.2,0.01,0.73,0.15
4,179,188.26,26.52,15,503.0,0.01,0.73,0.15
4,18,202.09,26.52,35,497.8,0.01,0.73,0.15
4,181,223.94,26.52,49,571.4,0.01,0.73,0.15
4,182,192.09,26.52,16,604.6,0.01,0.73,0.15
4,183,217.97,26.52,24,507.4,0.01,0.73,0.15
4,187,229.71,26.52,26,685.7,0.01,0.73,0.15
4,190,229.61,26.52,46,873.8,0.01,0.73,0.15
4,191,196.24,26.52,18,678.2,0.01,0.73,0.15
4,192,183.74,26.52,28,806.2,0.01,0.73,0.15
4,193,221.42,26.52,19,771.9,0.01,0.73,0.15
4,194,172.02,26.52,14,661.9,0.01,0.73,0.15
4,195,243.47,26.52,26,739.8,0.01,0.73,0.15
4,196,176.16,26.52,18,682.3,0.01,0.73,0.15
4,2,207.62,26.52,17,858.1,0.01,0.73,0.15
4,20,222.12,26.52,24,753.8,0.01,0.73,0.15
4,200,192.29,26.52,44,880.3,0.01,0.73,0.15
4,201,205.17,26.52,31,759.9,0.01,0.73,0.15
4,203,171.67,26.52,32,817.4,0.01,0.73,0.15
