supplier_id,category_id,sup_lat,sup_lon,zone_label,distance_km,price_factor,freshness_loss_days,min_procurement_days,capacity_kg,min_order_qty_units_supplier,lead_time_mean_days,lead_time_std_days,tw_open,tw_close,service_time,reliability,on_time_rate
100000,1,30.980014629560937,121.59431776602406,Wholesaler_Near,30.11691488123866,1.6,3.0,1.0,289.50427648698087,3,1.0,0.2,428,937,45,0.803395877130086,0.783395877130086
100001,1,31.083943784093233,121.16208976806178,Wholesaler_Near,33.82908972511675,1.6,3.0,1.0,219.00992346232488,5,1.0,0.2,421,947,45,0.8616720942711219,0.8416720942711219
100002,1,30.477904838724204,122.09679740756714,Distributor_Mid,102.6596335438819,1.0,1.0,1.0,2941.6741500377484,3,1.0,0.2,431,940,45,0.9543559372238475,0.9343559372238475
100003,1,31.66654362745048,120.57769177779082,Distributor_Mid,97.8584337366873,1.0,1.0,1.0,1106.8668937512368,2,1.0,0.2,443,951,45,0.8747355624016767,0.8547355624016767
100004,1,28.254968514482968,120.22657161699077,Farm_Far,352.071827042803,0.4,0.0,2.0,19218.459507420732,3,2.0,0.5,433,932,45,0.957100166393807,0.937100166393807
100005,1,31.313792883486617,119.64349940001539,Farm_Far,174.18652130572116,0.4,0.0,1.0,13730.690433343563,2,1.0,0.5,448,938,45,0.9569955279686075,0.9369955279686075
200000,2,31.415134259225574,121.53912759130937,Wholesaler_Near,21.46108743303868,1.6,3.0,1.0,416.1904379066538,7,1.0,0.2,434,945,45,0.8756604160544561,0.8556604160544561
200001,2,31.000921023999528,121.04936269759584,Wholesaler_Near,47.779787310235655,1.6,3.0,1.0,438.3838113396308,3,1.0,0.2,450,944,45,0.9507696800041603,0.9307696800041603
200002,2,30.712592009051292,120.89325058425534,Distributor_Mid,79.86066557133063,1.0,1.0,1.0,2097.7758673993776,3,1.0,0.2,427,911,45,0.9617442093560201,0.9417442093560201
200003,2,31.88091787358396,120.60549225657022,Distributor_Mid,109.54270586889137,1.0,1.0,1.0,2438.6152290172886,6,1.0,0.2,451,929,45,0.9357561650501564,0.9157561650501563
200004,2,31.159801989771225,119.0352817955609,Farm_Far,232.06333268200092,0.4,0.0,1.0,15602.139614499647,4,1.0,0.5,423,937,45,0.8671091456775459,0.8471091456775459
200005,2,31.991710927924334,118.04889099161137,Farm_Far,335.16577776918376,0.4,0.0,1.0,19077.52745416515,5,1.0,0.5,433,916,45,0.9053896468774703,0.8853896468774702
