product_id,Recon_MAPE,Recon_RMSE,Mean_Sales,Samples
540,16.7,1.74,7.7,50
756,14.8,1.49,6.7,50
96,12.3,0.92,5.4,50
186,15.8,1.17,5.3,50
498,13.9,0.77,4.6,50
844,11.4,0.55,3.7,50
300,14.0,0.64,3.6,50
691,15.4,0.65,3.5,50
70,15.5,0.8,3.2,50
117,18.0,0.69,3.1,50
692,17.5,0.82,3.0,50
215,16.8,0.73,2.9,50
185,18.1,0.69,2.9,50
309,18.9,0.67,2.9,50
33,18.6,0.54,2.4,50
685,16.6,0.56,2.4,50
546,19.3,0.57,2.4,50
317,19.1,0.54,2.2,50
168,15.1,0.44,2.2,50
39,14.7,0.48,2.2,50
708,13.3,0.41,2.1,50
4,50.1,1.28,2.1,50
358,21.4,0.52,1.9,50
834,26.5,0.7,1.9,50
119,24.3,0.57,1.9,50
1,16.7,0.4,1.9,50
104,21.1,0.43,1.9,50
123,26.9,0.56,1.8,50
590,24.9,0.46,1.8,50
541,23.0,0.43,1.7,50
280,16.4,0.34,1.7,50
102,28.2,0.51,1.7,50
386,18.9,0.37,1.7,50
846,38.6,1.0,1.7,50
3,42.8,0.86,1.7,50
30,28.0,0.54,1.6,50
132,18.2,0.49,1.6,50
537,27.2,0.76,1.6,50
114,24.1,0.54,1.5,50
512,24.0,0.46,1.5,50
835,30.3,0.71,1.5,50
191,15.1,0.3,1.5,50
486,26.2,0.38,1.5,50
775,24.0,0.42,1.5,50
279,46.9,0.81,1.5,50
318,23.6,0.45,1.5,50
143,22.4,0.5,1.5,50
467,49.6,0.96,1.4,50
211,23.4,0.42,1.4,50
619,21.0,0.38,1.4,50
76,15.8,0.29,1.4,50
580,19.4,0.35,1.4,50
343,31.6,0.62,1.4,50
122,21.5,0.29,1.4,50
118,22.6,0.29,1.3,50
171,21.2,0.31,1.3,50
292,31.5,0.53,1.3,50
126,20.8,0.43,1.3,50
288,33.1,0.56,1.3,50
333,16.8,0.26,1.3,50
482,22.0,0.42,1.3,50
22,14.3,0.26,1.3,50
49,20.8,0.34,1.3,50
447,24.2,0.43,1.2,50
802,55.6,1.17,1.2,50
809,39.7,0.65,1.2,50
796,24.1,0.34,1.2,50
128,24.4,0.37,1.2,50
549,31.0,0.37,1.2,50
68,25.1,0.36,1.2,50
246,25.8,0.36,1.2,50
166,20.8,0.32,1.2,50
730,22.2,0.37,1.2,50
71,31.3,0.53,1.2,50
41,23.2,0.34,1.2,50
129,27.9,0.45,1.2,50
789,29.0,0.46,1.1,50
804,27.1,0.43,1.1,50
832,59.5,1.0,1.1,50
860,67.8,0.76,1.1,50
783,23.6,0.31,1.1,50
351,32.9,0.29,1.1,50
316,26.2,0.27,1.1,50
654,27.6,0.36,1.1,50
712,30.6,0.4,1.1,50
769,18.9,0.26,1.1,50
441,45.6,0.55,1.1,50
24,24.5,0.34,1.1,50
851,59.4,0.76,1.0,50
864,28.3,0.41,1.0,50
427,27.7,0.39,1.0,50
629,28.8,0.32,1.0,50
392,24.4,0.3,1.0,50
500,19.4,0.21,1.0,50
748,29.2,0.46,1.0,50
449,25.4,0.24,1.0,50
523,24.9,0.31,1.0,50
305,25.4,0.32,1.0,50
666,32.2,0.57,1.0,50
281,23.8,0.33,1.0,50
601,25.7,0.33,1.0,50
607,23.9,0.27,1.0,50
323,20.9,0.23,1.0,50
120,33.9,0.46,1.0,50
116,22.7,0.25,1.0,50
101,25.7,0.53,1.0,50
810,26.4,0.3,1.0,50
169,31.7,0.37,0.9,50
161,25.6,0.32,0.9,50
154,46.0,0.53,0.9,50
92,33.9,0.4,0.9,50
90,37.8,0.36,0.9,50
822,25.4,0.34,0.9,50
694,55.0,0.71,0.9,50
182,27.4,0.32,0.9,50
174,29.1,0.39,0.9,50
377,38.3,0.48,0.9,50
381,48.6,0.47,0.9,50
201,24.3,0.26,0.9,50
50,34.2,0.4,0.9,50
243,44.3,0.72,0.9,50
223,37.5,0.38,0.9,50
